Age,m0.88,m5,m8.5,m9,m9.4,m9.5,m10,m11,m13.5,m20,m25,f0.88,f5,f8.5,f9,f9.4,f9.5,f10,f11,f13.5,f20,f25
50,0:00:03,0:00:18,0:00:30,0:00:32,0:00:33,0:00:35,0:00:36,0:00:40,0:00:49,0:01:14,0:01:34,0:00:14,0:01:23,0:02:21,0:02:29,0:02:36,0:02:39,0:02:47,0:03:04,0:03:46,0:05:37,0:07:04
51,0:00:03,0:00:20,0:00:35,0:00:37,0:00:38,0:00:40,0:00:42,0:00:46,0:00:56,0:01:25,0:01:48,0:00:14,0:01:24,0:02:23,0:02:32,0:02:39,0:02:41,0:02:49,0:03:06,0:03:49,0:05:43,0:07:11
52,0:00:04,0:00:23,0:00:40,0:00:42,0:00:44,0:00:45,0:00:47,0:00:52,0:01:04,0:01:36,0:02:02,0:00:15,0:01:25,0:02:26,0:02:34,0:02:41,0:02:44,0:02:53,0:03:10,0:03:54,0:05:49,0:07:20
53,0:00:04,0:00:26,0:00:45,0:00:47,0:00:49,0:00:51,0:00:53,0:00:59,0:01:12,0:01:49,0:02:18,0:00:15,0:01:27,0:02:29,0:02:38,0:02:45,0:02:47,0:02:56,0:03:14,0:03:59,0:05:57,0:07:29
54,0:00:05,0:00:29,0:00:50,0:00:53,0:00:55,0:00:57,0:00:59,0:01:05,0:01:21,0:02:01,0:02:34,0:00:15,0:01:29,0:02:33,0:02:42,0:02:49,0:02:52,0:03:00,0:03:19,0:04:04,0:06:06,0:07:41
55,0:00:05,0:00:32,0:00:56,0:00:59,0:01:01,0:01:03,0:01:06,0:01:13,0:01:30,0:02:15,0:02:51,0:00:16,0:01:32,0:02:37,0:02:46,0:02:54,0:02:56,0:03:05,0:03:24,0:04:11,0:06:16,0:07:54
56,0:00:06,0:00:36,0:01:02,0:01:05,0:01:08,0:01:09,0:01:13,0:01:20,0:01:39,0:02:29,0:03:09,0:00:16,0:01:35,0:02:42,0:02:51,0:02:59,0:03:02,0:03:11,0:03:30,0:04:19,0:06:28,0:08:09
57,0:00:06,0:00:39,0:01:08,0:01:11,0:01:15,0:01:16,0:01:20,0:01:28,0:01:49,0:02:44,0:03:28,0:00:17,0:01:38,0:02:47,0:02:57,0:03:05,0:03:08,0:03:18,0:03:37,0:04:28,0:06:41,0:08:26
58,0:00:07,0:00:43,0:01:14,0:01:18,0:01:22,0:01:23,0:01:28,0:01:37,0:01:59,0:02:59,0:03:48,0:00:17,0:01:41,0:02:53,0:03:03,0:03:12,0:03:15,0:03:25,0:03:46,0:04:38,0:06:56,0:08:45
59,0:00:08,0:00:47,0:01:21,0:01:25,0:01:29,0:01:31,0:01:36,0:01:45,0:02:10,0:03:16,0:04:08,0:00:18,0:01:45,0:03:00,0:03:11,0:03:19,0:03:22,0:03:33,0:03:55,0:04:49,0:07:13,0:09:06
